protocol,mode,vital_unmet_p10,vital_unmet_median,vital_unmet_p90,eco_overshoot_p10,eco_overshoot_median,eco_overshoot_p90,rights_suspended_p10,rights_suspended_median,rights_suspended_p90,untraced_decisions_p10,untraced_decisions_median,untraced_decisions_p90,recovery_days_p10,recovery_days_median,recovery_days_p90,administrative_load_p10,administrative_load_median,administrative_load_p90,displaced_loss_p10,displaced_loss_median,displaced_loss_p90,power_concentration_p10,power_concentration_median,power_concentration_p90,common_failure_rate_p10,common_failure_rate_median,common_failure_rate_p90,gate_failures_p10,gate_failures_median,gate_failures_p90
grid_and_payments,cct_v011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.16400189492904,83.7884460096859,87.6426922665259,0.0,0.0,0.0,26.178477739814642,26.32190390753945,26.443385867914284,0.04527256721753299,0.050414805706699775,0.055991962077315105,0.0,0.0,0.0
grid_and_payments,cct_v010,0.0,0.2660329128724511,4.105759503849129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9661344489770565,2.678717635625678,4.275888298809754,116.04389032611238,120.26633660104505,124.27962377550523,0.0,0.0,0.0,25.131338630222054,25.26902775123787,25.385650433197714,0.06551843956628754,0.07296028486896422,0.08103154314031717,0.0,0.0,0.0
grid_and_payments,simple_emergency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2747660452477856,3.033381951814507,4.804293946702235,57.41564168986518,61.54201274890326,65.35677271215953,4.483141434584542,4.833783545263937,5.203568787288608,81.6768505482217,82.12434019152307,82.50336390789256,0.06019458047716214,0.06703172066145095,0.07444712934308427,0.0,0.0,0.0
grid_and_payments,cct_v012_lean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.75246740719387,60.88850525834912,64.57038653108528,0.0,0.0,0.0,24.084199520629472,24.216151594936292,24.327914998481145,0.043948936213432856,0.048940831421600495,0.05435492884635595,0.0,0.0,0.0
transition_collision,cct_v011,0.0,0.0,0.0,0.0,0.0,0.614046640758734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.50529525102847,84.78014426664333,88.77716121645065,2.8449696022398685,4.293231248797321,5.786615540074703,25.94847936033517,26.05282409025852,26.156874972411348,0.03880299791184586,0.04294570961537108,0.048087201800907996,0.0,0.0,0.0
transition_collision,cct_v010,0.0,0.0,0.0,0.0,0.0,1.7016331870684835,0.0,0.0,0.0,0.0,0.0,0.0,1.2455379105460247,2.9129198909907497,4.650200092085384,117.08685807067013,121.2246620892972,125.18110723193516,1.7839265284801917,3.2321881750376447,4.725572466315026,24.910540185921764,25.010711126648182,25.110599973514894,0.05615568168384049,0.0621510122575141,0.06959177750990256,0.0,0.0,0.0
transition_collision,simple_emergency,0.0,0.0,0.0,0.0,1.1696423665003697,3.4730231785810224,0.0,0.0,0.0,0.0,0.0,0.0,1.5851839706339568,3.2604572116741632,4.913861461156338,58.13919497659523,61.99401767606514,66.15429735358002,13.862830334292543,15.311091980849994,16.804476272127374,80.95925560424573,81.2848111616066,81.6094499139234,0.05159261610539257,0.0571007816095338,0.06393692950562979,0.0,0.0,0.0
transition_collision,cct_v012_lean,0.0,0.0,0.0,0.0,0.0,0.4451533054059816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84322485482668,61.935699291231046,66.26944474797467,2.2466107581632535,3.694872404720705,5.188256695998086,23.872601011508355,23.96859816303784,24.064324974618437,0.03766851727059206,0.04169010879055255,0.046681279514719384,0.0,0.0,0.0
security_saturation,cct_v011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0227508343937797,4.429895661497133,7.204015724770182,10.047682282582548,97.959603329931,105.51871309992904,113.75830410775606,0.0,0.0,0.0,31.429835682987626,32.15052752932381,32.923832985957375,0.10933321504480278,0.1312877312723565,0.15516382165920767,0.0,0.0,0.0
security_saturation,cct_v010,0.0,4.458016784397416,9.074421232751881,0.0,0.0,0.0,0.0,0.22440132036143443,3.350983265756052,6.140327328598191,9.79976993399226,13.779980605926635,14.706609653238273,17.717436424636087,21.00056461750825,149.9843881881856,158.3094116856978,166.2382177663,0.0,0.0,0.0,30.17264225566812,30.86450642815086,31.606879666519085,0.1924429880504967,0.22018993393373906,0.24983134733933776,0.0,2.0,3.0
security_saturation,simple_emergency,0.0,0.0,0.0,0.0,0.0,0.0,14.651365051429497,17.592476702852167,20.761135759237376,4.924487509820633,7.328167499754658,10.196363777616863,10.210376707360306,12.23072480300093,14.261013661281169,71.8881065992721,76.02879093687504,80.49436622456234,6.40196861884429,6.999763505686293,7.551629643228847,98.0610873309214,100.3096458914903,102.72235891618702,0.1373799316612135,0.1531373405971723,0.17056210304028668,1.0,1.0,2.0
security_saturation,cct_v012_lean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9384451722287848,4.857348530568061,6.792176081142465,71.25045361018985,75.82170501238537,80.36518908878247,0.0,0.0,0.0,28.91544882834862,29.57848532697791,30.289926347080787,0.10030308053854024,0.11180779333370909,0.12457810223364715,0.0,0.0,0.0
full_polycrisis,cct_v011,46.555399962462054,55.69810276897251,63.70928070113717,11.606041797495282,14.87923450097512,18.4004905324197,3.002046298758971,6.816610087137301,10.44978810994938,10.161793531060674,14.024563791384466,18.225200499462993,28.2806918323012,32.47283610073242,36.42749039177722,164.1242091840171,176.5623169788007,188.03528902721138,9.088598425351588,11.08351387654998,13.090468244294936,30.475606229817632,31.11869198339782,31.683197985599783,0.3097809680038794,0.3493742523107299,0.3865112242007688,5.0,5.0,5.0
full_polycrisis,cct_v010,64.7966923608231,74.00633233559908,83.44820428034626,16.32287767696383,19.72717755756383,23.399295410215853,12.089678228721855,16.437540573952106,20.14957834498955,21.841112222643737,26.06248332136726,30.15461139674353,40.16010439533309,44.629974869442336,48.857383208294365,219.38528894366473,231.75246171269362,242.90298592444478,10.42219881518985,12.459420870485502,14.50996765241043,29.25658198062493,29.873944304061908,30.415870066175795,0.44108974325734346,0.49103540710890253,0.5380821655615022,6.0,6.0,6.0
full_polycrisis,simple_emergency,20.153003864416927,28.534353892127502,36.130131212727065,5.300376437976065,8.879180133111408,12.024128649402137,15.739329059713986,19.12880176125276,23.105559513734928,8.910601040589112,12.882065032169027,16.695041001880234,25.56315885780813,29.415569803640736,33.49381071929855,101.97281909737376,111.94301254094901,121.75156368586042,14.6472899280523,16.489455859312656,18.273899576241316,95.08389143703103,97.0903189882012,98.85157771507133,0.2841866542691713,0.3264700000690346,0.36612250189941054,5.0,6.0,6.0
